Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_obsservations;nombre_logements;methodologie_production
B0600;2014;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 4P et plus;9,0;10,5;11,8;12,9;13,8;11,6;755;915;1074;1216;1443;1076;93;559;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;1. Moins 1 an;;11,1;12,7;14,7;17,0;20,4;14,3;447;525;665;800;991;688;48;1716;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;;10,6;12,2;14,2;16,5;18,9;13,9;468;570;697;835;1060;730;53;3289;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 1P;12,9;15,7;17,4;20,1;22,0;17,3;392;435;506;580;746;521;30;760;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 2P;11,4;13,2;14,6;16,5;18,1;14,7;498;570;650;734;794;650;44;1420;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 3P;10,1;11,4;12,7;14,4;15,6;12,9;646;706;836;970;1092;850;66;826;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 4P et plus;9,3;10,4;12,2;13,6;14,9;12,1;765;896;1135;1251;1415;1103;91;283;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;1. Moins 1 an;;11,7;13,0;14,7;17,1;19,6;14,6;471;570;700;850;1092;737;50;1130;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;;11,7;12,8;14,7;16,6;19,2;14,5;448;567;713;902;1090;751;52;1818;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 1P;13,1;15,8;17,8;20,0;22,9;17,9;328;414;490;552;645;490;27;255;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 2P;12,3;13,8;15,5;17,1;18,9;15,4;448;550;660;755;875;660;43;896;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 3P;11,0;12,2;13,3;15,0;16,1;13,6;630;796;895;1000;1140;891;66;540;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 4P et plus;10,9;12,3;12,6;13,8;15,3;12,8;814;993;1100;1264;1350;1131;88;127;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;5. Après 2005;1. Moins 1 an;;12,0;13,0;15,0;17,2;19,4;14,6;507;626;726;910;1055;773;53;755;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;5. Après 2005;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;;10,1;11,4;13,3;15,6;18,9;13,0;426;508;648;795;994;683;53;9025;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 4P et plus;9,0;10,0;11,3;12,9;13,6;11,3;745;859;1007;1200;1388;1042;92;973;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Appart 1P;12,7;14,9;17,3;20,7;23,0;17,3;342;403;465;540;645;480;28;2437;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Appart 2P;10,5;12,1;13,7;15,5;17,4;13,7;427;500;596;678;753;595;43;3515;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Appart 3P;9,9;10,9;12,1;13,5;14,8;12,2;620;696;780;895;1012;799;66;2073;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Appart 4P et plus;8,8;10,1;11,3;12,8;13,5;11,3;745;850;1000;1192;1341;1028;91;912;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 1P;12,7;14,9;17,3;20,7;23,0;17,3;342;403;465;540;645;480;28;2437;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 2P;10,5;12,1;13,7;15,5;17,4;13,7;427;500;596;678;753;595;43;3520;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 3P;9,6;10,8;12,0;13,4;14,8;12,0;616;687;776;896;1001;796;66;2095;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;1. Moins 1 an;;11,3;12,8;14,8;17,5;20,9;14,3;430;520;669;805;1000;700;49;2578;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;1. Moins 1 an;Ensemble 4P et plus;10,3;10,9;12,8;13,2;14,0;12,3;860;991;1107;1212;1601;1165;95;236;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;1. Moins 1 an;Ensemble 1P;15,4;16,7;18,5;21,1;23,0;18,7;367;420;480;570;695;499;27;839;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;1. Moins 1 an;Ensemble 2P;12,1;13,3;14,9;16,7;19,3;15,0;490;562;645;700;785;635;42;1007;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;1. Moins 1 an;Ensemble 3P;10,1;11,5;12,9;14,4;15,1;12,9;686;746;820;950;1055;852;66;496;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;2. Un an et plus;;9,9;11,2;12,8;15,0;17,9;12,6;425;506;645;795;993;678;54;6447;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;2. Un an et plus;Ensemble 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;2. Un an et plus;Ensemble 1P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;2. Un an et plus;Ensemble 2P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;Ville centre;;;2. Un an et plus;Ensemble 3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;Ville centre;;1. Avant 1946;;;10,0;11,5;13,2;15,7;19,7;13,0;419;499;638;795;952;668;51;2930;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;1. Avant 1946;;Ensemble 4P et plus;8,7;9,9;11,2;12,1;12,9;11,1;702;796;975;1163;1393;1020;92;348;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;1. Avant 1946;;Ensemble 1P;12,7;15,5;17,8;21,2;23,0;17,7;325;397;455;530;645;472;27;768;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;1. Avant 1946;;Ensemble 2P;10,2;11,9;13,4;15,5;18,2;13,6;422;497;581;670;753;585;43;1188;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;1. Avant 1946;;Ensemble 3P;9,6;11,0;12,4;13,6;15,2;12,2;599;696;795;896;995;798;65;626;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;2. Entre 1946-1970;;;10,0;11,2;12,9;14,9;17,6;12,6;430;514;641;780;993;672;53;2665;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;Ville centre;;2. Entre 1946-1970;;Ensemble 4P et plus;9,1;10,2;11,2;12,9;13,5;11,4;746;865;994;1124;1298;1011;89;252;;Estimation directe
